Rank,Price ($),# Reviews,% Positive,Release Year (Steam),Recent Review #
25,4.99,13,100,2021,0
30,1.99,6,67,2021,0
31,1.99,8,50,2021,0
32,0,19,78,2021,0
33,2.99,8,50,2021,0
34,3.99,7,86,2021,0
35,1.99,29,96,2022,0
40,5.99,7,100,2023,7
1,39.99,273363,90,2020,3107
2,24.99,40743,90,2020,625
3,0,1506,43,2023,20
4,0,132,65,2021,0
5,0,12045,57,2019,131
6,9.99,5087,94,2005,80
7,29.99,527,67,2024,527
8,0,53,56,2023,12
9,19.99,240,56,2023,13
10,10.99,92,93,2024,92
11,29.99,233,87,2022,0
12,24.99,3507,79,2023,63
13,37.99,539,94,2019,0
14,24.99,68,51,2024,68
15,17.99,430,66,2024,273
16,29.99,36345,47,2018,59
17,19.99,889,59,2020,0
18,39.99,1129,58,2020,0
19,29.99,1700,79,2021,0
20,39.99,37,86,2022,0
21,24.99,520,57,2021,0
22,19.99,832,96,2020,0
23,39.99,868,69,2018,0
24,17.99,319,83,2022,0
25,24.99,2177,79,2018,11
26,9.99,150,91,2023,150
27,19.99,394,93,2022,12
28,14.99,1679,70,2016,0
29,0,7536,62,2019,64
30,19.99,1143,59,2015,0
31,14.99,627,71,2018,0
32,0,133,65,2021,0
33,14.99,58,82,2022,0
34,14.99,1047,72,2012,0
35,0,117,75,2022,0
36,19.99,1211,52,2020,10
37,14.99,304,43,2020,0
38,9.99,101,32,2023,101
39,6.99,19,84,2021,0
40,14.99,1826,73,2016,26
41,4.99,524,70,2019,0
42,7.99,196,73,2009,0
43,19.99,32,88,2019,0
44,14.99,1939,76,2018,0
45,19.99,565,41,2016,0
46,0.99,374,96,2022,11
1,29.99,78825,95,2019,1206
2,0,1235,56,2008,0
3,24.99,90372,98,2020,4196
4,29.99,7748,91,2018,150
5,24.99,11419,89,2015,111
6,29.99,16965,93,2013,94
7,29.99,20121,97,2023,479
8,29.99,57668,96,2014,822
9,0,10073,73,2020,55
10,24.99,1126,76,2023,82
11,0,7614,71,2021,156
12,39.99,1103,76,2021,12
13,19.99,22088,92,2017,172
14,49.99,5707,74,2022,158
15,7.99,4849,89,2022,100
16,49.99,152,76,2023,152
17,12.99,328,85,2021,0
18,14.99,331,95,2018,0
19,14.99,251,96,2023,27
20,19.99,5724,89,2017,43
21,19.99,3446,77,2014,12
22,19.99,913,90,2021,65
23,29.99,1813,88,2023,67
24,10.99,23318,90,2016,156
25,10.99,98,88,2020,0
26,9.99,475,84,2018,0
27,15.99,466,86,2022,0
28,39.99,1104,78,2022,21
29,14.99,682,80,2020,12
30,21.99,2749,86,2020,24
